Name,Date1,Date2,Platform,Mode,Orbit,RelativeOrbit,PolyFrame,OrbitDirection,ProcessingLevel,Polarisation1,Polarisation2,Polarisation3,Polarisation4,Server,Url,Status,SizeMB,Stored,Processed
S1A_IW_SLC__1SDV_20220506T145307_20220506T145335_043091_052551_7AE9.zip,2022-05-06T14:53:07.277Z,2022-05-06T14:53:35.163Z,S1A,IW,43091,144,"POLYGON ((53.656628 -21.291651, 54.086018 -22.967934, 56.498253 -22.398155, 56.039124 -20.73082, 53.656628 -21.291651))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/6d4d9a92-769f-5d4a-8606-94eb5e138def,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20220424T145307_20220424T145334_042916_051F8A_A502.zip,2022-04-24T14:53:07.100Z,2022-04-24T14:53:34.987Z,S1A,IW,42916,144,"POLYGON ((53.654499 -21.291836, 54.083916 -22.968239, 56.496185 -22.39846, 56.037025 -20.731005, 53.654499 -21.291836))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/353ae452-c2a0-576e-90d8-b00663b049a5,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20220412T145306_20220412T145334_042741_0519B8_925E.zip,2022-04-12T14:53:06.220Z,2022-04-12T14:53:34.103Z,S1A,IW,42741,144,"POLYGON ((53.655212 -21.292917, 54.084541 -22.969069, 56.496941 -22.3993, 56.037872 -20.732092, 53.655212 -21.292917))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/732259c2-494f-5134-9c39-9928daa2d4c9,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20220331T145305_20220331T145333_042566_0513D6_7285.zip,2022-03-31T14:53:05.968Z,2022-03-31T14:53:33.855Z,S1A,IW,42566,144,"POLYGON ((53.654209 -21.292057, 54.083591 -22.968456, 56.496017 -22.398699, 56.036896 -20.731245, 53.654209 -21.292057))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/a07809cf-4dcb-5e7d-8fca-cac27e7208a8,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20220319T145305_20220319T145333_042391_050DE9_1B45.zip,2022-03-19T14:53:05.800Z,2022-03-19T14:53:33.681Z,S1A,IW,42391,144,"POLYGON ((53.654175 -21.293095, 54.083492 -22.96912, 56.49588 -22.399351, 56.036831 -20.732267, 53.654175 -21.293095))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/ec919302-d4f7-5cb9-8bb3-219aa9905845,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20220307T145305_20220307T145333_042216_0507FA_299A.zip,2022-03-07T14:53:05.634Z,2022-03-07T14:53:33.516Z,S1A,IW,42216,144,"POLYGON ((53.654926 -21.292032, 54.084278 -22.968058, 56.496563 -22.39827, 56.037487 -20.731188, 53.654926 -21.292032))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/596626d0-d05b-59eb-92ba-eb3acd8aa07b,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20220223T145305_20220223T145333_042041_05020B_BADE.zip,2022-02-23T14:53:05.830Z,2022-02-23T14:53:33.721Z,S1A,IW,42041,144,"POLYGON ((53.654953 -21.291512, 54.08448 -22.968163, 56.496605 -22.398401, 56.037346 -20.730696, 53.654953 -21.291512))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/99788fc0-a961-524a-8fa5-66e0f8dc6b26,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20220211T145305_20220211T145333_041866_04FBEB_0310.zip,2022-02-11T14:53:05.933Z,2022-02-11T14:53:33.817Z,S1A,IW,41866,144,"POLYGON ((53.655411 -21.292044, 54.084805 -22.968201, 56.496933 -22.398455, 56.037815 -20.731239, 53.655411 -21.292044))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/5c227605-91e7-5c45-a1e6-a50e1a9abd25,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20220130T145306_20220130T145333_041691_04F5E2_D28C.zip,2022-01-30T14:53:06.073Z,2022-01-30T14:53:33.962Z,S1A,IW,41691,144,"POLYGON ((53.655602 -21.291559, 54.085064 -22.9681, 56.497055 -22.398439, 56.037872 -20.730839, 53.655602 -21.291559))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/f67e45d7-9a86-5cf2-b6ae-2a5bf4d78561,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20220118T145306_20220118T145334_041516_04EFED_C586.zip,2022-01-18T14:53:06.516Z,2022-01-18T14:53:34.408Z,S1A,IW,41516,144,"POLYGON ((53.655819 -21.292294, 54.085327 -22.968956, 56.497349 -22.399275, 56.038116 -20.731556, 53.655819 -21.292294))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/fb7feced-00ba-553b-97a3-631415adb455,ONLINE,0.0,False,False
